Track name,Artist name,Album,Playlist name,Type,ISRC
"Single Pasanga - From ""Natpe Thunai""","Hiphop Tamizha","Single Pasanga (From ""Natpe Thunai"")","Car Rock 🚗","Playlist","INT201901941"
"Seve - Slow Version","Tez Cadey","Seve (Slow Version)","Car Rock 🚗","Playlist","FR9W12122014"
"Karinthol (From ""Rrr"")","K. S. Harisankar","Karinthol (From ""Rrr"")","Car Rock 🚗","Playlist","INS182115578"
"Toxic","BoyWithUke","Toxic","Car Rock 🚗","Playlist","TCAFS2101442"
"Peaky Blinder","Otnicka","Peaky Blinder","Car Rock 🚗","Playlist","QMDA62162310"
"Sugar & Brownies","DHARIA","Sugar & Brownies","Car Rock 🚗","Playlist","FR96X1871858"
"Where We Started","Jex","Where We Started","Car Rock 🚗","Playlist","GB2LD1900329"
"Azeri","Qara 07","Azeri","Car Rock 🚗","Playlist","QZFZ22103157"
"Devil Eyes","Hippie Sabotage","Providence","Car Rock 🚗","Playlist","US7SR1600006"
"Cradles","Sub Urban","Cradles","Car Rock 🚗","Playlist","GB2LD1800949"
"Arivu","AQIL","Arivu","Car Rock 🚗","Playlist","INA982100288"
"Shwasa Kattin","Deepesh A K","Kgf Chapter 1 (Malayalam) (Original Motion Picture Soundtrack)","Car Rock 🚗","Playlist","INL161800352"
"Dheera Dheera","Ananya Bhat","Kgf Chapter 1 (Malayalam) (Original Motion Picture Soundtrack)","Car Rock 🚗","Playlist","INL161800351"
"Animals","Maroon 5","V (Asia Tour Edition)","Car Rock 🚗","Playlist","USUM71409576"
"rockstar (feat. 21 Savage)","Post Malone","beerbongs & bentleys","Car Rock 🚗","Playlist","USUM71710087"
"Chellamma (From ""Doctor"")","Anirudh Ravichander","Chellamma (From ""Doctor"")","Car Rock 🚗","Playlist","INS172002392"
"Bad Boy (feat. Luana Kiara)","Raaban","Bad Boy (feat. Luana Kiara)","Car Rock 🚗","Playlist","SEPQA1800300"
"So Baby (From ""Doctor"")","Anirudh Ravichander","So Baby (From ""Doctor"")","Car Rock 🚗","Playlist","INS172101129"
"Blinding Lights","The Weeknd","After Hours","Car Rock 🚗","Playlist","USUG11904206"
"Why This Kolaveri Di? - The Soup of Love","Anirudh Ravichander","Why This Kolaveri Di? (The Soup of Love)","Car Rock 🚗","Playlist","INS171101335"
"Axel F","Crazy Frog","Crazy Frog presents Crazy Hits","Car Rock 🚗","Playlist","DES310500134"
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","MONTERO","Car Rock 🚗","Playlist","USSM12104539"
"Ollulleru","Justin Varghese","Ajagajantharam","Car Rock 🚗","Playlist","INO332100088"
